"Style","Status","Source","Output","CandidateCount"
"FT1387-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1387-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1387-30.jpg","1"
"FT1396-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1396-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1396-30.jpg","1"
"FT1397-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1397-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1397-30.jpg","1"
"FT1398-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1398-30\场景2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1398-30.jpg","2"
"FT1399-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1399-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1399-30.jpg","1"
"FT1400-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1400-30\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1400-30.jpg","1"
"FT1401-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1401-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1401-30.jpg","1"
"FT1402","no_scene_image_filename","","","0"
"FT1403","no_scene_image_filename","","","0"
"FT1404","no_scene_image_filename","","","0"
"FT1405-3015","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1405-3015\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1405-3015.jpg","1"
"FT1406-3015","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1406-3015\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1406-3015.jpg","1"
